Player Cards,Split Cards,Dealer Cards,Moves,Result,Bet,Win Amount
"[2, 6, 9]",[],"[10, 6, 2]","['hit', 'stay']",Dealer Wins,1000,-1000
"[8, 2, 2, 3, 1]","[8, 6]","[10, 10]","['split', 'hit', 'hit', 'hit', 'stay']",Dealer Wins,1000,-1000
"[11, 8]",[],"[3, 2, 10, 10]","['split', 'stay']",Player Wins,1000,1000
"[10, 10]",[],"[6, 7, 10]",['stay'],Player Wins,1000,1000
"[10, 10]",[],"[9, 7, 10]",['stay'],Player Wins,1000,1000
"[9, 8]",[],"[2, 2, 11, 8, 10]",['stay'],Player Wins,1000,1000
"[6, 6, 4, 2]",[],"[9, 10]","['hit', 'hit', 'stay']",Dealer Wins,1000,-1000
"[11, 10]",[],"[10, 10]",[],Player Wins,1000,1000
"[9, 10, 7]",[],"[9, 9]",['hit'],Dealer Wins,1000,-1000
"[9, 3, 1, 6]",[],"[5, 6, 3, 4]","['hit', 'hit', 'stay']",Player Wins,69,69
"[11, 7, 6, 11, 1, 5]",[],"[7, 10]","['hit', 'hit', 'hit\\', 'hit', 'hit']",Player Wins,10,10
"[10, 2, 2, 10]",[],"[9, 10]","['hit', 'hit']",Dealer Wins,20,-20
"[10, 4, 10]",[],"[9, 10]",['hit'],Dealer Wins,20,-20
"[11, 10]",[],"[6, 5]",[],Player Wins,1000,1000
"[5, 4, 9]",[],"[9, 4, 10]","['hit', 'stay']",Player Wins,20,20
"[6, 8, 2, 9]",[],"[10, 10]","['hit', 'hit']",Dealer Wins,20,-20
"[4, 10, 4]",[],"[3, 9, 9]","['hit', 'stay']",Dealer Wins,20,-20
"[9, 11]",[],"[10, 6, 10]",['stay'],Player Wins,20,20
"[4, 5, 4, 2, 7]",[],"[3, 8]","['hit', 'hit', 'hit']",Dealer Wins,200,-200
"[3, 10, 5]",[],"[9, 3, 8]","['hit', 'stay']",Dealer Wins,100,-100
"[4, 9, 2, 4]",[],"[8, 10]","['hit', 'hit', 'stay']",Player Wins,72,72
"[10, 10]",[],"[7, 8, 6]",['stay'],Dealer Wins,12,-12
"[10, 11]",[],"[11, 8]",[],Player Wins,20,20
"[10, 10]",[],"[10, 10]",['stay'],Tie,12,0
"[10, 11]",[],"[2, 5]",[],Player Wins,12,12
"[10, 11]",[],"[4, 3]",[],Player Wins,20,20
"[3, 8, 7]",[],"[8, 7, 10]","['hit', 'stay']",Player Wins,50,50
"[10, 6, 6]",[],"[3, 8]",['hit'],Dealer Wins,90,-90
"[9, 10]","[9, 3]","[2, 8, 2, 9]","['split', 'stay']",Dealer Wins,200,-200
"[8, 3, 7]",[],"[10, 9]","['hit', 'stay']",Dealer Wins,200,-200
"[7, 4, 11, 7]",[],"[10, 7]","['hit', 'hit', 'stay']",Player Wins,200,200
"[10, 3]",[],"[10, 11]",[],Dealer Wins,200,-200
"[11, 9]",[],"[8, 3, 4, 10]",['stay'],Player Wins,200,200
"[5, 2, 10, 7]",[],"[10, 7]","['hit', 'hi', 'hit']",Dealer Wins,200,-200
"[3, 5, 3, 7]",[],"[7, 9, 10]","['hit', 'hit', 'stay']",Player Wins,200,200
"[8, 6, 2, 8]",[],"[10, 10]","['hit', 'hit']",Dealer Wins,200,-200
"[4, 1, 4, 3, 8]","[4, 9]","[3, 4, 7, 6]","['split', 'hit', 'hit', 'hit', 'stay']",Tie,200,0
"[9, 3, 9]",[],"[10, 10]",['hit'],Player Wins,200,200
"[9, 10]",[],"[10, 7]",['stay'],Player Wins,200,200
"[10, 11]",[],"[9, 6]",[],Player Wins,100,100
"[4, 4, 11]",[],"[5, 6, 5, 3]","['hit', 'stay']",Tie,200,0
"[3, 8, 10]",[],"[10, 10]",['hit'],Player Wins,200,200
"[10, 5, 11, 5]",[],"[10, 7]","['hit', 'hit']",Player Wins,200,200
"[6, 10, 7]",[],"[6, 10]",['hit'],Dealer Wins,200,-200
"[10, 7, 4]",[],"[11, 5]",['hit'],Player Wins,200,200
"[10, 10]",[],"[3, 6, 3, 10]",['stay'],Player Wins,200,200
"[7, 10]",[],"[3, 10, 10]",['stay'],Player Wins,200,200
"[10, 5, 7]",[],"[9, 10]",['hit'],Dealer Wins,100,-100
"[10, 11]",[],"[7, 6]",[],Player Wins,200,200
"[10, 3, 10]",[],"[10, 7]",['hit'],Dealer Wins,200,-200
