shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
0,416,10,"[10, 11]","[10, 4, 10]",24,"[[10, 11]]",['BJ'],[['S']],1,0,1.5
0,411,10,"[5, 5]","[10, 8]",18,"[[5, 5, 11]]",[21],"[['H', 'S']]",-2,0,1
0,406,6,"[3, 10]","[6, 6, 10]",22,"[[3, 10]]",[13],[['S']],-2,0,1
0,401,10,"[5, 9]","[10, 8]",18,"[[5, 9, 11, 3]]",[18],"[['H', 'H', 'S']]",-1,0,0
0,395,8,"[6, 10]","[8, 2, 10]",20,"[[6, 10, 10]]",[26],[['H']],-1,0,-1
0,389,7,"[3, 4]","[7, 2, 10]",19,"[[3, 4, 11]]",[18],"[['H', 'S']]",-2,0,-1
0,383,6,"[3, 3]","[6, 10, 10]",26,"[[3, 2, 10], [3, 4, 5]]","[15, 12]","[['P', 'H', 'S'], ['H', 'S']]",-1,0,2
0,374,3,"[10, 8]","[3, 10, 7]",20,"[[10, 8]]",[18],[['S']],2,0,-1
0,369,5,"[8, 10]","[5, 10, 9]",24,"[[8, 10]]",[18],[['S']],1,0,1
0,364,9,"[6, 8]","[9, 2, 5, 11]",17,"[[6, 8, 6]]",[20],"[['H', 'S']]",0,0,1
0,357,10,"[11, 10]","[10, 10]",20,"[[11, 10]]",['BJ'],[['S']],3,0,1.5
0,353,3,"[10, 10]","[3, 10, 10]",23,"[[10, 10]]",[20],[['S']],-1,0,1
0,348,10,"[4, 10]","[10, 2, 10]",22,"[[4, 10, 7]]",[21],"[['H', 'S']]",-4,0,1
0,342,2,"[4, 7]","[2, 6, 5, 2, 3]",18,"[[4, 7, 10]]",[21],[['D']],-5,0,2
0,334,10,"[9, 8]","[10, 10]",20,"[[9, 8]]",[17],[['S']],0,0,-1
0,330,10,"[10, 5]","[10, 10]",20,"[[10, 5]]",[15],[['R']],-2,0,-0.5
0,326,7,"[7, 10]","[7, 11]",18,"[[7, 10]]",[17],[['S']],-4,0,-1
